Cote;Piece;Intitule;Support;Dimensions_largeur_hauteur);Precision_vue;Observations;Nom_image;Localite;Code_postal;Code_INSEE;Latitude;Longitude
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 19v-20r;;FRAN126_0033_L.jpg;;;;;
93AJ/316;Carnet n°3;Orléans;Papier;35,5 x 11 cm;fol. 20v-21r;;FRAN126_0034_L.jpg;Orléans;45100;45234;47.916667;44440
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 21v-22r;;FRAN126_0035_L.jpg;;;;;
93AJ/316;Carnet n°3;Saint-Jean-de-Braye;Papier;35,5 x 11 cm;fol. 22v-23r;;FRAN126_0036_L.jpg;Saint-Jean-de-Braye;45800;45284;47.9;1.966667
93AJ/316;Carnet n°3;A localiser;Papier;35,5 x 11 cm;fol. 23v-24r;;FRAN126_0037_L.jpg;;;;;
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 24v-25r;;FRAN126_0038_L.jpg;;;;;
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 25v-26r;;FRAN126_0039_L.jpg;;;;;
93AJ/316;Carnet n°3;Fontainebleau;Papier;35,5 x 11 cm;fol. 26v-27r;;FRAN126_0040_L.jpg;Fontainebleau;77300;77186;48.4;44379
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 27v-28r;;FRAN126_0041_L.jpg;;;;;
93AJ/316;Carnet n°3;Fontainebleau;Papier;35,5 x 11 cm;fol. 28v-29r;;FRAN126_0042_L.jpg;Fontainebleau;77300;77186;48.4;44379
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 29v-30r;;FRAN126_0043_L.jpg;;;;;
93AJ/316;Carnet n°3;Esquisse;Papier;35,5 x 11 cm;fol. 30v-31r;;FRAN126_0044_L.jpg;;;;;
93AJ/316;Carnet n°3;Fontainebleau;Papier;35,5 x 11 cm;fol. 31v-32r;;FRAN126_0045_L.jpg;Fontainebleau;77300;77186;48.4;44379
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 32v-33r;Ne pas numériser des fol. 33v à 35r [blancs].;FRAN126_0046_L.jpg;;;;;
93AJ/316;Carnet n°3;Esquisse;Papier;35,5 x 11 cm;fol. 35v-36r;;FRAN126_0047_L.jpg;;;;;
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 36v-37r;;FRAN126_0048_L.jpg;;;;;
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 37v-contre-plat inf.;;FRAN126_0049_L.jpg;;;;;
93AJ/316;Carnet n°3;A localiser;Papier;15 x 9,5 cm;Feuille insérée A;;FRAN126_0050_L.jpg;;;;;
93AJ/316;Carnet n°3;A localiser;Papier;15 x 9,5 cm;feuille insérée B recto;;FRAN126_0051_L.jpg;;;;;
93AJ/316;Carnet n°3;[Esquisse];Papier;15 x 9,5 cm;feuille insérée B verso;;FRAN126_0052_L.jpg;;;;;
93AJ/316;Carnet n°3;A localiser;Papier;14 x 10,5 cm;Feuille insérée C;;FRAN126_0053_L.jpg;;;;;
93AJ/316;Carnet n°3;A localiser;Papier;14 x 10,5 cm;Feuille insérée D;;FRAN126_0054_L.jpg;;;;;
93AJ/316;Carnet n°3;A localiser;Papier;10,5 x 13 cm;Feuille insérée E recto;Couleur.;FRAN126_0055_L.jpg;;;;;
93AJ/316;Carnet n°3;A localiser;Papier;10,5 x 13 cm;Feuille insérée E verso;;FRAN126_0056_L.jpg;;;;;
93AJ/316;Carnet n°3;Second plat.;Papier;17,5 x 11 cm;Second plat;;FRAN126_0057_L.jpg;;;;;
93AJ/316;Carnet n°6;Premier plat.;Papier;17 x 11 cm;Premier plat;;FRAN126_0058_L.jpg;;;;;
93AJ/316;Carnet n°6;[Date.];Papier;35,5 x 11 cm;Contre-plat sup.-fol. 1r;;FRAN126_0059_L.jpg;;;;;
93AJ/316;Carnet n°6;Rochepot;Papier;35,5 x 11 cm;fol. 1v-2r;;FRAN126_0060_L.jpg;;;;;
