Nom Société,Date_Creation,Ville,Presence_Quicherat,Id_CTHS
"Société des sciences, lettres et arts de Pau et du Béarn (SSLA Pau Béarn)",1841-01-01T01:00:00Z,Pau,true,https://cths.fr/an/societe.php?id=129
Société du muséum d'histoire naturelle de Strasbourg,1828-01-01T01:00:00Z,Strasbourg,true,https://cths.fr/an/societe.php?id=1877
"Société dunoise d'archéologie, histoire, sciences et arts (Société dunoise)",1864-01-01T01:00:00Z,Châteaudun,true,https://cths.fr/an/societe.php?id=858
Société d’études scientifiques de l’Anjou,1871-01-01T01:00:00Z,Angers,true,https://cths.fr/an/societe.php?id=1250
Société d’horticulture pratique du Rhône,1840-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100363
"Société éduenne des lettres, sciences et arts ",1836-01-01T01:00:00Z,Autun,true,https://cths.fr/an/societe.php?id=1800
Société française d'entomologie,1882-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100598
Société française de pharmacologie et de thérapeutique (SFPT),1866-01-01T01:00:00Z,Tours,true,https://cths.fr/an/societe.php?id=100242
Société historique de Compiègne (SHC),1840-01-01T01:00:00Z,Compiègne,true,https://cths.fr/an/societe.php?id=44
Société historique de Gascogne,1869-01-01T01:00:00Z,Auch,true,https://cths.fr/an/societe.php?id=2897
Société historique de Haute-Picardie (SHHP),1850-01-01T01:00:00Z,Laon,true,https://cths.fr/an/societe.php?id=737
Société historique de Lisieux (SHL),1869-01-01T01:00:00Z,Lisieux,true,https://cths.fr/an/societe.php?id=1202
Société historique et archéologique de Château-Thierry (SAHCT),1864-01-01T01:00:00Z,Château-Thierry,true,https://cths.fr/an/societe.php?id=740
Société historique et archéologique de Langres (SHAL),1836-01-01T01:00:00Z,Langres,true,https://cths.fr/an/societe.php?id=71
"Société historique et archéologique de Pontoise, du Val-d'Oise et du Vexin (SHAPVOV)",1877-01-01T01:00:00Z,Pontoise,true,https://cths.fr/an/societe.php?id=1966
Société historique et archéologique du Gâtinais,1883-01-01T01:00:00Z,Fontainebleau,true,https://cths.fr/an/societe.php?id=2873
Société historique et archéologique du Maine (SHAM),1875-01-01T01:00:00Z,Le Mans,true,https://cths.fr/an/societe.php?id=564
Société historique et archéologique du Périgord (SHAP),1874-01-01T01:00:00Z,Périgueux,true,https://cths.fr/an/societe.php?id=130
"Société historique, archéologique et scientifique de Noyon (SHASN)",1856-01-01T01:00:00Z,Noyon,true,https://cths.fr/an/societe.php?id=745
Société honfleuraise de photographie,1830-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100491
Société industrielle de Rouen,1872-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=2833
Société italienne de chirurgie (SIC),1882-01-01T01:00:00Z,Le Mont-Saint-Adrien,true,https://cths.fr/an/societe.php?id=4910
Société italienne des sciences,1782-01-01T01:00:00Z,Le Mont-Saint-Adrien,true,https://cths.fr/an/societe.php?id=4189
Société La Tour Magne,1840-01-01T01:00:00Z,Nîmes,true,https://cths.fr/an/societe.php?id=100248
"Société libre d'agriculture, sciences, arts et belles-lettres de l'Eure  (Société libre de l'Eure)",1798-01-01T01:00:00Z,Évreux,true,https://cths.fr/an/societe.php?id=1727
Société libre d'émulation de la Seine-Maritime,1792-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=5118
Société libre d'émulation de Liège (ASBL),1779-01-01T01:00:00Z,Le Liège,true,https://cths.fr/an/societe.php?id=2182
Société libre d'émulation du commerce et de l'industrie de la Seine-Maritime (SLE 76),1792-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=1811
"Société libre d’agriculture, arts et commerce du département des Ardennes",1798-01-01T01:00:00Z,Charleville-Mézières,true,https://cths.fr/an/societe.php?id=100387
Société linnéenne de Bordeaux ,1818-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=122
Société linnéenne de Lyon (SLL),1822-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=1517
Société linnéenne de Normandie,1823-01-01T01:00:00Z,Caen,true,https://cths.fr/an/societe.php?id=1592
Société linnéenne du Maine-et-Loire,1852-01-01T01:00:00Z,Angers,true,https://cths.fr/an/societe.php?id=100028
Société linnéenne Nord Picardie (SLNP),1838-01-01T01:00:00Z,Amiens,true,https://cths.fr/an/societe.php?id=1814
"Société littéraire, historique et archéologique de Lyon (SHALL)",1807-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=1588
Société lyonnaise d'horticulture,1844-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=2893
Société médicale d'émulation de Lyon,1840-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100337
Société médicale d'Indre et Loire,1801-01-01T01:00:00Z,Tours,true,https://cths.fr/an/societe.php?id=4489
Société médicale de Chambéry,1858-01-01T01:00:00Z,Chambéry,true,https://cths.fr/an/societe.php?id=100665
Société médicale de Dijon,1831-01-01T01:00:00Z,Dijon,true,https://cths.fr/an/societe.php?id=100776
Société médicale de l'Yonne,1858-01-01T01:00:00Z,Auxerre,true,https://cths.fr/an/societe.php?id=4251
Société médicale de Reims,1865-01-01T01:00:00Z,Reims,true,https://cths.fr/an/societe.php?id=4501
Société médicale de Tours,1801-01-01T01:00:00Z,Tours,true,https://cths.fr/an/societe.php?id=4523
Société médicale des hôpitaux de Lyon,1869-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100506
Société nantaise d'horticulture (SNH),1828-01-01T01:00:00Z,Nantes,true,https://cths.fr/an/societe.php?id=100341
Société nationale d'éducation de Lyon,1000-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100057
Société nationale de médecine et des sciences médicales de Lyon,1789-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=2864
"Société nivernaise des lettres, sciences et arts",1851-01-01T01:00:00Z,Nevers,true,https://cths.fr/an/societe.php?id=108
Société normande de géographie,1879-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=2832
Société philomathique de Bordeaux (Philomathique Bordeaux),1856-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=2824
Société philomatique vosgienne,1875-01-01T01:00:00Z,Saint-Dié-des-Vosges,true,https://cths.fr/an/societe.php?id=881
Société photographique de Toulouse,1875-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=100366
Société pomologique de France,1856-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100370
Société pour la conservation des monuments historiques d'Alsace (SCMHA),1855-01-01T01:00:00Z,Strasbourg,true,https://cths.fr/an/societe.php?id=163
Société royale d'agriculture de Limoges,1759-01-01T01:00:00Z,Limoges,true,https://cths.fr/an/societe.php?id=100522
Société royale des sciences de Liège (SRSL),1835-01-01T01:00:00Z,Le Liège,true,https://cths.fr/an/societe.php?id=100551
Société savoisienne d'histoire et d'archéologie (SSHA),1855-01-01T01:00:00Z,Chambéry,true,https://cths.fr/an/societe.php?id=11
Société scientifique d'Arcachon,1863-01-01T01:00:00Z,Arcachon,true,https://cths.fr/an/societe.php?id=935
Société scientifique du Dauphiné,1838-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=2813
Société scientifique et artistique de Clamecy (SSAC),1876-01-01T01:00:00Z,Clamecy,true,https://cths.fr/an/societe.php?id=1045
Société scientifique et littéraire de Cannes et arrondissement de Grasse (SSL,1868-01-01T01:00:00Z,Cannes,true,https://cths.fr/an/societe.php?id=196
Société scientifique et littéraire des Alpes-de-Haute-Provence  (SSLAHP),1878-01-01T01:00:00Z,Digne-les-Bains,true,https://cths.fr/an/societe.php?id=1675
Société zoologique des Alpes,1854-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=100457
Souvenir français du département des Pyrénées-Orientales,1887-01-01T01:00:00Z,Perpignan,true,https://cths.fr/an/societe.php?id=3261
